IPsec,IP Security,IPを拡張してセキュリティを高めたプロトコル。
IP,Internet Protocol,インターネット上でコンピューター同士が通信を行うために定められた通信規約。
TCP,Transmission Control Protocol,コネクション型通信を行うプロトコル。信頼性は高いが転送効率は低い。
UDP,User Datagram Protocol,コネクションレス型通信を行うプロトコル。信頼性は低いが転送効率は高い。
MIME,Multipurpose Internet Mail Extension,ASCII文字しか使用できないSMTPを利用したメールで、日本語の2バイトコードや画像データを送信するための仕組み。
S/MIME,Secure MIME,公開鍵暗号技術を使用して「認証」「改ざん検出」「暗号化」などの機能を電子メールソフトに提供する規格。認証は送受双方のメールソフト間で行われる。デジタル署名機能もある。
SSH,Secure Shell,公開鍵暗号や認証の技術を利用して、安全にリモートコンピュータと通信するためのプロトコル。
SWOT(分析),Strength Weakness Opportunity Threat,自社の強み、弱み、機会、脅威の分析
EA,Enterprise Architecture,社会環境や情報技術の変化に素早く対応できるよう 「全体最適」の観点から業務やシステムを改善する仕組み。4つの体系から構成される。
BI,Business Intelligence,組織の業務システムに蓄積された膨大なデータを分析・加工し、経営や業務に役立つ情報を見つけ出す手法・技術の総称。
ROI,Return on Investment,投下資本利益率。＝利益／投資額。
ERP,EnterPrise Resource Planning,企業全体の経営資源の配分を有効かつ統合的に管理し、経営の効率向上を図ること。
BPO,Business Process Outsourcing,経営資源をコアビジネスに集中させるために，社内業務のうちコアビジネス以外の業務を外部に委託すること
BPR,Business Process Reengineering,業務プロセスを根本的に考え直し、抜本的にデザインし直すことによって、企業のコスト、品質、サービス、スピードなどを劇的に改善すること。
HEMS,Home Energy Management System,家庭で使用されるあらゆる電気機器をネットワークとして繋ぎ、エネルギー消費量を可視化しつつ積極的な制御を行うことで、省エネやピークカットの効果を目指す仕組み。
ADAS,Advanced Driver-Assistance System,先進運転支援システム。自動車に取り付けたセンサで車両の状態，路面状況などのデータを計測し，ネットワークを介して保存し分析することによって，効率的な運転を支援する。
CGM,Consumer Generated Media,ユーザが投稿した内容をもとにページが作成されていくWebコンテンツの形態です。代表例としては、掲示板、Q&Aサイト、SNS、製品や商品に対する利用者の口コミを投稿できるサイトなどがあります。
ANSI,American National Standards Institute,アメリカ合衆国の工業的な分野の標準化組織であり公の合意形成のために、さまざまな規格開発をおこなう団体。
IEEE,Institute of Electrical and Electronics Engineers,電気・電子技術に関する非営利の団体であり、主な活動内容としては、学会活動、書籍の発行、IEEE規格の標準化を行っている。
IETF,Internet Engineering Task Force,TCP/IP・HTTP・SMTPなどのようにインターネット上で開発される技術やプロトコルなどを標準化する組織。
RFC,Request for Comments,インターネット上に公開され誰もが自由に閲覧できる、IETFの規格。
NIST,National Institute of Standards and Technology,アメリカ国立標準技術研究所。アメリカの技術革新や産業競争力を強化するために、経済保障を強化して生活の質を高めるように計測学、規格、産業技術を促進することを目的とする機関。

